task,policy,steps,final_score,total_reward,enrolled,target,budget_remaining,dropped,screened,milestones_hit,delayed_effects_triggered,strategy_steps,recontacts,allocations,plan_steps,memory_writes,memory_hits,avg_milestone_potential,trajectory_chunks,token_usage,token_budget_remaining,token_efficiency_score,pareto_points,replay_size,oversight_ratio,salt_advantage_mean,skill_count,goal_count,site_value_mean,episode_index
easy_bench,greedy_screen,180,0.5183,57.5133,0,80,18600.0,0,169,0,188,0,0,0,0,0,0,0.3611,11,3240,8760,0.825,10,16,0.0,2.9686,1,1,0.3046,0
medium_bench,greedy_screen,180,0.299,30.2136,0,120,44400.0,0,132,0,189,0,0,0,0,0,0,0.3869,11,3240,8760,0.825,10,16,0.0,1.5619,2,1,0.1269,0
hard_bench,greedy_screen,180,0.3741,30.674,0,150,15400.0,0,94,0,233,0,0,0,0,0,0,0.5611,11,3240,8760,0.825,10,16,0.0,1.6025,2,1,0.1537,0
easy_bench,conservative_retention,180,0.665,35.5019,28,80,37600.0,11,59,1,87,3,44,69,0,1,1,0.546,11,3670,8330,1.0,10,16,0.214,1.8094,2,1,0.0692,0
medium_bench,conservative_retention,180,0.4779,20.795,9,120,78350.0,11,37,0,134,19,65,52,0,0,0,0.6847,11,3730,8270,0.997,10,16,0.905,1.0454,1,1,0.0943,0
hard_bench,conservative_retention,180,0.5832,39.9461,1,150,31300.0,14,24,0,209,15,93,42,0,0,0,0.6389,11,3714,8286,0.98,10,16,0.625,2.0797,1,1,0.1086,0
easy_bench,site_negotiation,180,0.5465,47.2818,33,80,7200.0,11,103,1,111,15,0,54,0,0,0,0.4657,11,3576,8424,1.0,10,16,0.833,2.4725,1,1,2.6405,0
medium_bench,site_negotiation,180,0.6071,49.8667,13,120,41700.0,9,93,0,154,15,0,34,0,0,0,0.4933,11,3496,8504,0.988,10,16,0.341,2.6008,1,1,0.3083,0
hard_bench,site_negotiation,180,0.4963,26.6117,1,150,15400.0,10,69,0,210,15,0,24,0,0,0,0.6183,11,3456,8544,0.994,10,16,0.183,1.378,1,1,0.8757,0
easy_bench,rule_based_memory,180,0.7092,41.2306,36,80,33400.0,10,48,1,101,24,26,76,0,4,1,0.6278,11,3902,8098,1.0,10,16,2.182,2.1933,1,1,0.2036,0
medium_bench,rule_based_memory,180,0.6491,19.9155,12,120,78500.0,7,31,0,147,38,58,45,0,4,1,0.7055,11,3954,8046,0.991,10,16,3.8,1.0266,1,1,0.1895,0
hard_bench,rule_based_memory,180,0.4904,13.1818,0,150,17400.0,18,33,0,234,39,59,38,0,2,1,0.6365,11,3888,8112,0.969,10,16,1.444,0.6319,2,1,0.138,0
